,0
0,4927300
1,72400
2,73900
3,59200
4,61600
5,53000
6,56800
7,55800
8,82300
9,80800
10,46800
11,65800
12,88400
13,87900
14,92300
15,403600
16,69100
17,52900
18,44900
19,46400
20,31100
21,40500
22,46300
23,26000
24,34300
25,58800
26,45900
27,37900
28,49600
29,70200
30,30000
31,54800
32,46300
33,114600
34,44300
35,41100
36,73800
37,71600
38,70700
39,79900
40,68300
41,45800
42,45900
43,117300
44,80700
45,41700
46,55200
47,72900
48,92300
49,40500
50,89400
51,62800
52,64500
53,62600
54,60000
55,41700
56,43500
57,44200
58,39800
59,39400
60,39800
61,49700
62,40600
63,67400
64,80900
65,54000
66,47800
67,74900
68,83700
69,70500
70,85700
71,87400
72,73100
73,212600
74,192200
75,239200
76,153300
77,192400
78,110800
79,371100
80,101500
81,516100
82,95700
83,162900
84,102700
85,258000
86,110600
87,240400
88,111500
89,188800
90,191800
91,235500
92,181300
93,212100
94,255300
95,267000
96,72700
97,160400
98,75700
99,54200
